citations;submit_date;Sun_sign_number;Sun_lon;Sun_lat;Moon_sign_number;Moon_lon;Moon_lat;Mercury_sign_number;Mercury_lon;Mercury_lat;Venus_sign_number;Venus_lon;Venus_lat;Mars_sign_number;Mars_lon;Mars_lat;Jupiter_sign_number;Jupiter_lon;Jupiter_lat;Saturn_sign_number;Saturn_lon;Saturn_lat;North Node_sign_number;North Node_lon;North Node_lat;South Node_sign_number;South Node_lon;South Node_lat;Syzygy_sign_number;Syzygy_lon;Syzygy_lat;Pars Fortuna_sign_number;Pars Fortuna_lon;Pars Fortuna_lat
10;2017/04/19;01;29.12695950430106;-2.1167789269848177e-05;10;294.4675170096992;3.0803791020245557;02;31.207009034535847;1.9481863497474532;12;357.15787705472167;3.6273489300706148;02;58.309563261233464;0.5571804856927317;07;196.84679579423437;1.5732160904961487;09;267.6617016614069;1.3569333148104217;06;150.50649913238334;0.0;12;330.50649913238334;0.0;07;201.5459858269488;3.86988247817672;12;358.9750701187587;0
0;2017/02/28;12;339.5848806774007;-0.0001722548385762298;12;357.17051715429443;-2.134148605917092;12;333.6181450236265;-2.081620378836955;01;12.764927301647663;6.219586706478295;01;22.72348384859442;0.010205703090367522;07;202.40550861731245;1.511546257187856;09;266.66875339493595;1.3048296029708555;06;153.1549153550861;0.0;12;333.15491535508613;0.0;12;338.2018740825509;-0.4435165185349778;07;209.76501336504953;0
4;2017/08/08;05;135.65198425613087;-2.9107633412508514e-06;11;318.4556591331114;0.5282510683435343;06;160.56059712140353;-3.023380716790952;04;98.55527801858774;-1.2107004229493301;05;131.88721822030877;1.1288164005981736;07;197.98893869888735;1.1629263735747555;09;261.42671391192533;1.231753250983873;05;144.62885026847982;0.0;11;324.6288502684798;0.0;11;315.41943750400856;0.8063867719916298;09;257.4310078793934;0
73;2017/01/15;10;295.0205144075307;-0.00010918371203330253;05;147.82222912122748;-0.5455540770044646;10;271.522086664498;2.0671001521221717;12;342.145361762914;-0.28338066155719516;12;350.07883211690074;-0.6423966347497366;07;202.36758423035351;1.3356357266153853;09;262.91444032876467;1.2805909796701396;06;155.48514816933843;0.0;12;335.48514816933846;0.0;04;112.45636857436712;-3.4212169527940093;12;344.3425459859742;0
21;2017/01/12;10;291.96545593555464;-0.00020516534931810064;04;105.44137784054143;-3.8657446154795108;09;269.71425764771925;2.5277941414222873;12;339.10784017376426;-0.5724998850243795;12;347.82167882274445;-0.6919711866501931;07;202.15034736561208;1.323657919067722;09;262.59300062624305;1.280550296387889;06;155.6439557290315;0.0;12;335.6439557290315;0.0;10;277.9891726586922;4.250356340601905;01;21.59993943611221;0
12;2017/07/13;04;110.80489155375574;-9.235659927060502e-05;12;334.27907296941896;-0.8884242508269157;05;132.05730314527773;1.3722688115391932;03;68.84434875079279;-2.3836831043297977;04;115.13959534607702;1.0592612357180848;07;194.82118941429292;1.257046573805449;09;262.5980486790287;1.3024309168709802;05;146.0056278285985;0.0;11;326.0056278285985;0.0;10;287.1547505247955;3.149770226941021;07;181.99636739004097;0
8;2017/11/16;08;233.81479612255205;0.0002303603230004151;07;205.67645290850132;4.580523684619118;09;254.22512566441793;-2.5029859444594362;08;220.673483424044;1.2077311166482734;07;195.29044258451617;1.1021997368810383;08;217.91271348456107;1.0111743323384639;09;266.1092378871886;0.9595611130195518;05;139.33233416247785;0.0;11;319.3323341624779;0.0;02;41.982355498999596;-4.952554291539794;07;183.68208851893033;0
4;2017/11/29;09;246.95145781798192;-3.5021087893088866e-05;01;4.166968856216406;-3.659888963688834;09;267.9100608923621;-2.0395371703016973;08;237.00226205957964;0.8092319101348746;07;203.47849699138342;1.0608259289878224;08;220.65595872576702;1.0153635122994475;09;267.53500955564857;0.9370435511479683;05;138.6439856529948;0.0;11;318.6439856529948;0.0;08;236.32387594128872;4.953177298790248;02;47.275860710025995;0
2;2017/05/31;03;69.74701736720016;-0.00013644761063399117;05;140.86017164463092;-0.5929156061708205;02;48.22459631715084;-2.4970121861530985;01;23.963418523840772;-2.076532437985594;03;86.88316072193534;0.863970998204245;07;193.35429241952488;1.4423253895993782;09;265.6213667332049;1.3670238849782648;05;148.28239685310604;0.0;11;328.28239685310604;0.0;03;64.77681673450799;-4.974925272815824;09;242.32549782752127;0
1;2017/04/20;02;30.10374829360934;-5.272698826787323e-05;11;306.7646319963851;2.1413545651462136;02;30.516208002065348;1.706637624722311;12;357.313566604454;3.4109216401109808;02;59.00318213843724;0.5659947074049985;07;196.7240420107147;1.5717672043770379;09;267.640259759017;1.3577787312977185;06;150.4535456773689;0.0;12;330.4535456773689;0.0;07;201.5459852768882;3.869882446138513;12;348.50446073458545;0
1;2017/06/06;03;75.49400176282622;3.806121366187833e-05;08;216.63489862444683;4.707724925293284;02;58.31038885404147;-1.6035443715959945;01;29.697156553796788;-2.378033461221199;04;90.87880926639528;0.897944133828237;07;193.23547472064817;1.4164735232494614;09;265.19618303158853;1.3629004368116693;05;147.96459671983726;0.0;11;327.96459671983723;0.0;03;64.77698658463476;-4.974923557408251;07;183.39243875526185;0
13;2017/11/03;08;220.7566138691198;-5.49598586996669e-05;01;24.11410755127654;-4.484840949425236;08;235.88290226784144;-1.6051513790030854;07;204.38858261076777;1.4640363831400536;07;187.09009148623744;1.1331694239290628;08;215.09861772476066;1.0123037623005007;09;264.79874501163454;0.985792282318687;05;140.02072470570323;0.0;11;320.02072470570323;0.0;07;206.5903103878957;4.552613101060929;12;343.27048322915664;0
6;2017/10/20;07;206.7890411379595;0.00022269863318287298;07;209.1170307361547;4.6436562520125415;08;214.3186897626827;-0.09726679413732836;07;186.92638242113924;1.5386746136971978;06;178.24955779644415;1.1564791139223565;08;212.04485034720577;1.0196437835009382;09;263.5596390726163;1.0181686336551279;05;140.76221294371084;0.0;11;320.76221294371084;0.0;07;206.59030129997407;4.552612757299399;05;134.7048575493774;0
4;2017/06/07;03;76.45070329567042;4.8128544451367546e-05;08;228.59696555687012;4.970182180470684;03;60.13424436466671;-1.4335148676245548;02;30.675933709439533;-2.4184187885447974;04;91.54280239846995;0.9033757464238265;07;193.22620410529706;1.4121027723614386;09;265.1239147535778;1.3620537637336243;05;147.91164178815146;0.0;11;327.9116417881514;0.0;03;64.77697232166136;-4.974923701463763;06;174.38210355404365;0
